ADM1_PCODE,sum
MX01,1470803.09168175
MX02,3876538.062579956
MX03,1028905.2013844636
MX04,976101.758158538
MX07,6033492.32264644
MX08,3809494.006999703
MX05,3350934.587004325
MX06,855946.6448465498
MX09,9152500.657691851
MX10,1917012.1095390657
MX11,6910013.613961565
MX12,4030588.6378496997
MX13,3718708.952675725
MX14,9489432.627487198
MX17,2172574.265611785
MX18,1457838.3058661744
MX20,4571960.884820704
MX21,6742246.358830782
MX23,1835057.793423892
MX25,3123676.5092749507
MX26,3304231.888996882
MX27,2839456.4346436555
MX28,3877332.3699670457
MX29,1409290.6473033251
MX30,8904891.47247987
MX32,1786837.8352454214
MX15,1.851754980149E7
MX31,2302508.800130734
MX19,1.0224691525015818E7
MX24,2989753.1814831123
MX16,5300973.815145683
MX22,2450645.277432063
